cost_function,budget_percentage,algorithm,budget_k,seed_set_size,seed_set_cost,activated_nodes,diffusion_ratio,runtime_seconds,num_nodes,num_edges,total_cost
degree,0.005,Threshold-Deficit Greedy,215,201,215,286,0.026296432511952923,2.4968328999821097,10876,39994,43166
degree,0.01,Threshold-Deficit Greedy,431,368,431,517,0.04753585877160721,4.557106300024316,10876,39994,43166
degree,0.02,Threshold-Deficit Greedy,863,797,863,952,0.08753218094887827,9.847502599994186,10876,39994,43166
degree,0.05,Threshold-Deficit Greedy,2158,2045,2158,2247,0.2066016917984553,24.524714400002267,10876,39994,43166
degree,0.1,Threshold-Deficit Greedy,4316,3933,4316,4244,0.3902169915410077,45.04815550002968,10876,39994,43166
degree,0.2,WTSS,8633,2119,7044,10876,1.0,10.095613299985416,10876,39994,43166
random,0.005,Threshold-Deficit Greedy,300,265,300,857,0.07879735196763515,3.3029827999998815,10876,39994,60070
random,0.01,Threshold-Deficit Greedy,600,463,600,1385,0.1273446119897021,5.739156800031196,10876,39994,60070
random,0.02,Threshold-Deficit Greedy,1201,746,1201,2291,0.21064729680029423,8.405937300005462,10876,39994,60070
random,0.05,Threshold-Deficit Greedy,3003,1142,2078,10876,1.0,12.119600800040644,10876,39994,60070
random,0.1,WTSS,6007,1818,4231,10876,1.0,9.877827699994668,10876,39994,60070
random,0.2,Greedy f3,12014,3302,12008,10876,1.0,204.74405310000293,10876,39994,60070
sublinear,0.005,Threshold-Deficit Greedy,210,32,210,231,0.021239426259654283,0.4317977000027895,10876,39994,42010
sublinear,0.01,Threshold-Deficit Greedy,420,62,420,372,0.03420375137918352,0.8067692999611609,10876,39994,42010
sublinear,0.02,Threshold-Deficit Greedy,840,130,840,757,0.069602795145274,1.5999185999971814,10876,39994,42010
sublinear,0.05,Threshold-Deficit Greedy,2100,362,2100,2002,0.18407502758367048,4.164491200004704,10876,39994,42010
sublinear,0.1,Threshold-Deficit Greedy,4201,756,4200,4361,0.4009746230231703,7.726336000021547,10876,39994,42010
sublinear,0.2,WTSS,8402,878,4939,10876,1.0,10.302279900002759,10876,39994,42010
