cost_function,algorithm,budget_percentage,budget_k,seed_set_size,seed_set_cost,activated_nodes,diffusion_ratio,runtime_seconds,num_nodes,num_edges,total_cost
random,Greedy f1,0.005,300,253,300,637,0.0585693269584406,17.274628199986182,10876,39994,60070
random,Greedy f2,0.005,300,238,300,482,0.0443177638837808,16.666358800022863,10876,39994,60070
random,Greedy f3,0.005,300,265,300,709,0.06518940787054064,19.03754960000515,10876,39994,60070
random,WTSS,0.005,300,145,299,399,0.036686281721221035,8.355975000013132,10876,39994,60070
random,Threshold-Deficit Greedy,0.005,300,265,300,857,0.07879735196763515,3.3029827999998815,10876,39994,60070
random,Greedy f1,0.01,600,471,598,1172,0.10776020595807283,36.57320499996422,10876,39994,60070
random,Greedy f2,0.01,600,451,599,937,0.08615299742552408,33.25541460001841,10876,39994,60070
random,Greedy f3,0.01,600,477,596,1226,0.11272526664214785,35.68474349996541,10876,39994,60070
random,WTSS,0.01,600,290,598,753,0.06923501287237956,8.792564900009893,10876,39994,60070
random,Threshold-Deficit Greedy,0.01,600,463,600,1385,0.1273446119897021,5.739156800031196,10876,39994,60070
random,Greedy f1,0.02,1201,747,1200,1905,0.17515630746598013,56.40777660004096,10876,39994,60070
random,Greedy f2,0.02,1201,746,1198,1618,0.1487679293858036,55.25564410001971,10876,39994,60070
random,Greedy f3,0.02,1201,760,1200,1976,0.18168444280985657,55.59445350000169,10876,39994,60070
random,WTSS,0.02,1201,549,1201,1385,0.1273446119897021,9.05806459998712,10876,39994,60070
random,Threshold-Deficit Greedy,0.02,1201,746,1201,2291,0.21064729680029423,8.405937300005462,10876,39994,60070
random,Greedy f1,0.05,3003,1409,3003,10850,0.9976094152261861,90.79526689997874,10876,39994,60070
random,Greedy f2,0.05,3003,1412,3002,10850,0.9976094152261861,97.62978249997832,10876,39994,60070
random,Greedy f3,0.05,3003,1429,3003,10871,0.999540272158882,100.51223220000975,10876,39994,60070
random,WTSS,0.05,3003,1277,3002,3422,0.31463773446119897,9.710585199994966,10876,39994,60070
random,Threshold-Deficit Greedy,0.05,3003,1142,2078,10876,1.0,12.119600800040644,10876,39994,60070
random,Greedy f1,0.1,6007,2234,6001,10860,0.9985288709084222,138.58989120001206,10876,39994,60070
random,Greedy f2,0.1,6007,2258,6004,10850,0.9976094152261861,145.98099690000527,10876,39994,60070
